POWER BUTTON

0 1000020: 
0 979706: 
4492 4357: 
670 422: 
617 465: 
600 1580: 
604 1502: 
624 516: 
627 1469: 
620 475: 
615 488: 
524 481: 
616 440: 
685 1450: 
641 1597: 
596 445: 
574 1592: 
617 497: 
552 499: 
636 432: 
635 1500: 
603 1606: 
664 1528: 
591 1620: 
541 504: 
546 533: 
541 536: 
586 1542: 
640 468: 
623 474: 
560 471: 
610 429: 
602 1576: 
591 1610: 
579 1603: 
626 46606: 
4530 4369: 
634 1569: 
611 95704: 
4509 4349: 
691 1516: 
624 95735: 
4503 4404: 
637 1557: 
731 95631: 
4474 4388: 
619 1523: 
627 95692: 
4545 4339: 
644 1596: 
590 95786: 
4523 4304: 
637 1579: 
657 95675: 
4511 4393: 
646 1569: 
571 95795: 
4493 4389: 
620 1534: 
706 1000006: 
0 500789: 
4487 4389: 
630 438: 
371 513: 
597 1537: 
594 1561: 
625 452: 
626 1591: 
553 572: 
593 356: 
640 414: 
511 535: 
496 1570: 
675 1713: 
361 541: 
507 1547: 
581 509: 
559 483: 
596 419: 
583 1599: 
623 1623: 
358 1593: 
587 1589: 
604 492: 
594 447: 
590 511: 
547 1583: 
574 551: 
536 426: 
630 456: 
557 492: 
559 1602: 
641 1508: 
628 1560: 
638 46597: 
4542 4353: 
566 1640: 
628 95719: 
4414 4358: 
664 1533: 
629 1000061: 
