POWER BUTTON

0 1000033: 
0 398266: 
4538 4324: 
637 1543: 
617 1568: 
663 1572: 
590 403: 
628 624: 
420 415: 
630 474: 
640 405: 
652 1566: 
625 1564: 
618 1560: 
613 447: 
630 390: 
662 393: 
646 467: 
617 361: 
672 394: 
653 1504: 
631 428: 
684 435: 
586 470: 
569 436: 
648 403: 
702 371: 
627 1563: 
742 294: 
631 1572: 
677 1547: 
600 1557: 
688 1503: 
677 1521: 
606 1597: 
631 46620: 
4456 4384: 
680 406: 
599 1000055: 
1 1000036: 
0 103458: 
4437 4449: 
602 1590: 
556 1588: 
567 1616: 
674 432: 
608 452: 
577 475: 
546 469: 
609 471: 
629 1584: 
609 1592: 
515 1633: 
542 517: 
629 394: 
642 487: 
559 442: 
623 468: 
621 393: 
658 1533: 
646 406: 
595 484: 
608 432: 
627 446: 
569 480: 
557 439: 
671 1541: 
585 462: 
585 1618: 
649 1505: 
628 1595: 
607 1586: 
675 1465: 
606 1543: 
648 46580: 
4558 4341: 
614 475: 
590 1000008: 
0 465324: 
4504 4405: 
530 1610: 
679 1541: 
505 1681: 
595 419: 
618 429: 
601 476: 
565 486: 
591 468: 
564 1614: 
543 1674: 
522 1622: 
535 546: 
541 512: 
562 475: 
536 511: 
575 454: 
569 502: 
588 1641: 
525 507: 
534 508: 
665 384: 
538 523: 
574 741: 
291 529: 
549 1649: 
505 500: 
562 1672: 
543 1618: 
534 1660: 
573 1667: 
558 1589: 
488 1651: 
531 46680: 
4467 4447: 
515 543: 
536 96979: 
4421 4456: 
548 491: 
528 96956: 
4475 4432: 
555 481: 
594 96860: 
4479 4445: 
451 512: 
502 96998: 
4351 4477: 
495 558: 
519 1000053: 
